"","county","year","temp"
"1","WAKE",1990,17.7601091596815
"2","DURHAM",1990,17.321657008903
"3","ORANGE",1990,17.3449385127083
"4","WAKE",1991,18.6932738394964
"5","DURHAM",1991,18.4347092162731
"6","ORANGE",1991,18.4634836501763
"7","WAKE",1992,15.8460019637668
"8","DURHAM",1992,15.6740697317345
"9","ORANGE",1992,15.7126024863759
"10","WAKE",1993,16.7471130783596
"11","DURHAM",1993,16.5003778989925
"12","ORANGE",1993,16.5598974911893
"13","WAKE",1994,17.7056547838544
"14","DURHAM",1994,17.552122171535
"15","ORANGE",1994,17.5419261455536
"16","WAKE",1995,17.4531746402619
"17","DURHAM",1995,17.3589534593183
"18","ORANGE",1995,17.3861269872697
"19","WAKE",1996,16.6838988302246
"20","DURHAM",1996,16.4681104338446
"21","ORANGE",1996,16.4572131145196
"22","WAKE",1997,16.3569742233034
"23","DURHAM",1997,16.163313976554
"24","ORANGE",1997,16.1655533040156
"25","WAKE",1998,17.7238789702219
"26","DURHAM",1998,17.2753488296686
"27","ORANGE",1998,17.3693032186539
"28","WAKE",1999,16.6333333291705
"29","DURHAM",1999,16.264215125594
"30","ORANGE",1999,16.3250819933219
"31","WAKE",2000,17.9474702013863
"32","DURHAM",2000,17.524709296781
"33","ORANGE",2000,17.6681352521552
"34","WAKE",2001,17.1400198255266
"35","DURHAM",2001,16.7293313603069
"36","ORANGE",2001,16.8036270493367
"37","WAKE",2002,18.3011110945353
"38","DURHAM",2002,17.9118895475255
"39","ORANGE",2002,17.9012294870908
"40","WAKE",2003,17.0362897222004
"41","DURHAM",2003,16.5796511450479
"42","ORANGE",2003,16.5937909610936
"43","WAKE",2004,18.4350595133645
"44","DURHAM",2004,18.0342442379441
"45","ORANGE",2004,18.0575204872694
"46","WAKE",2005,16.3061507864604
"47","DURHAM",2005,15.8766570063524
"48","ORANGE",2005,15.8743032197483
"49","WAKE",2006,17.1780754119631
"50","DURHAM",2006,16.8363662597745
"51","ORANGE",2006,16.9618032603967
"52","WAKE",2007,17.729206317947
"53","DURHAM",2007,17.3030232274255
"54","ORANGE",2007,17.299467235315
"55","WAKE",2008,17.7780158198069
"56","DURHAM",2008,17.3476163232049
"57","ORANGE",2008,17.305676225756
"58","WAKE",2009,17.8004761782904
"59","DURHAM",2009,17.2273837577465
"60","ORANGE",2009,17.1697950089564
"61","WAKE",2010,19.0013888449896
"62","DURHAM",2010,18.5059301797734
"63","ORANGE",2010,18.5372540794435
"64","WAKE",2011,18.2435813139355
"65","DURHAM",2011,17.8823545977127
"66","ORANGE",2011,17.7465778647876
"67","WAKE",2012,18.51027776703
"68","DURHAM",2012,18.2506395217984
"69","ORANGE",2012,18.1494467297538
"70","WAKE",2013,16.1363987761831
"71","DURHAM",2013,15.8072093032127
"72","ORANGE",2013,15.7025819313331
"73","WAKE",2014,16.7144642841248
"74","DURHAM",2014,16.31813944495
"75","ORANGE",2014,16.304918035132
"76","WAKE",2015,17.9721215811987
"77","DURHAM",2015,17.6225179794223
"78","ORANGE",2015,17.7125210605684
"79","WAKE",2016,17.8898500412229
"80","DURHAM",2016,17.6376985616462
"81","ORANGE",2016,17.6475336317156
