species,year,outlier
Abaeis nicippe,1993,late
Abaeis nicippe,1994,late
Ancyloxypha numitor,1996,late
Anthocharis midea,1997,early
Asterocampa celtis,1997,late
Battus philenor,2000,late
Calycopis cecrops,2000,late
Celastrina ladon,2000,early
Celastrina neglecta,2000,early
Colias eurytheme,2001,late
Colias eurytheme,2005,late
Cupido comyntas,2005,early
Danaus plexippus,2005,late
Epargyreus clarus,2006,early
Erynnis horatius,2007,early
Erynnis horatius,2007,early
Erynnis juvenalis,2009,late
Euphyes vestris,2011,late
Euphyes vestris,2011,late
Euptoieta claudia,2012,late
Eurytides marcellus,2012,early
Hermeuptychia sosybius,2012,early
Junonia coenia,2012,late
Lethe anthedon,2013,late
Libytheana carinenta,2013,late
Limenitis archippus,2014,late
Limenitis arthemis astyanax,2014,late
Panoquina ocola,2015,late
Papilio glaucus,2015,early
Papilio troilus,2015,late
Phyciodes tharos,2017,early
Pieris rapae,2017,early
Polites origenes,2017,late
Polygonia comma,2017,late
Polygonia comma,2019,late
Polygonia interrogationis,2019,late
Polygonia interrogationis,2019,late
Pompeius verna,2019,late
Pompeius verna,2019,late
Pompeius verna,2020,late
Thorybes bathyllus,2020,early
Vanessa atalanta,2020,late
Vanessa virginiensis,2020,late
Wallengrenia otho,2020,early
