"","species","year.slope","year.rsquared","year.pvalue","temp.slope","temp.rsquared","temp.pvalue","mean.year.earlydate","se.year.earlydate","mean.temp.earlydate","se.temp.earlydate"
"1","Abaeis nicippe",1.38073405802461,0.0749763881892651,0.17587223844601,4.09548836182257,0.00747620886081985,0.681099615106313,106.961538461538,7.81270774871708,102.24,6.4578840703954
"2","Limenitis archippus",0.686951989698935,0.13365750784259,0.103152681213282,-3.05375677081641,0.012266734814117,0.623653494761513,139,3.6134668750582,141.5,4.25677458530868
"3","Thorybes bathyllus",-2.93526929228855,0.0479010617075435,0.472515302995902,-3.05375677081641,0.012266734814117,0.623653494761513,132.5,2.79203412326113,132.692307692308,2.57548754504357
"4","Lerema accius",0.193751037803694,0.00312176596303774,0.790802658166126,-5.99259495607624,0.0249858539518853,0.45046112878926,194.76,5.38215570194694,199.48,4.91498389281864
"5","Cupido comyntas",-0.0669967958054199,0.00318154088821342,0.784327722573555,-4.91000345407351,0.117928286458373,0.0858697402227123,105.846153846154,1.85446845603744,108.615384615385,1.9143803360372
"6","Polygonia comma",0.750869137422112,0.103771659536278,0.133860939282445,-2.29639342052315,0.0110716793666634,0.649882216553223,75.7391304347826,3.7728054329895,72.4285714285714,3.13776643988881
"7","Cyllopsis gemma",-0.0846768002456617,0.00575255670552879,0.772339369505017,-4.76476787521495,0.0863630813002769,0.222009347969228,97.7647058823529,1.87383181602311,99.2631578947368,2.28373617302255
"8","Euphyes vestris",0.0672471285661332,0.00106281381354517,0.888435236097195,-7.89104334205455,0.183873538944821,0.0592262978888394,152.142857142857,3.60838026866145,149.95,3.01267061102377
"9","Papilio troilus",-0.149919890135045,0.00779503560992174,0.668004525269904,-2.14840740004713,0.00981524975826278,0.630152303345288,109.884615384615,2.59011548484852,110.192307692308,2.72764718605571
"10","Eurytides marcellus",-0.671755725190821,0.208279080805289,0.0655653248725343,0.948579585988571,0.00743386904916598,0.742133611531502,91.0588235294118,2.50216169517258,92.1176470588235,2.01626174359509
"11","Limenitis arthemis astyanax",0.349206349206327,0.0566708998711974,0.231801873027533,-2.74888257846715,0.0402749360305762,0.325595465459621,130.111111111111,2.24073485436349,131.346153846154,1.94298921782693
"12","Junonia coenia",-0.746852764094134,0.0568018853600856,0.221961951463073,-27.3425152099012,0.531140132523404,3.60158468747346e-05,148.464285714286,4.87149199325656,146.88,4.7778377257221
"13","Epargyreus clarus",0.223173738160122,0.016058799175935,0.528784254418289,-0.895661429920073,0.00197105214046271,0.829493620132622,124.925925925926,2.75077089734923,124.076923076923,2.62410311530689
"14","Pieris rapae",-0.175936113575867,0.00464506348831994,0.751674316610034,-10.0549419632183,0.0966517651614647,0.122138756375206,91.9583333333333,3.7645751375399,98.3846153846154,4.45492879096225
"15","Strymon melinus",1.16228790366714,0.0841365402190275,0.134316224962248,-16.4683383995414,0.123283770818842,0.0852520139762977,145.107142857143,6.22916405971476,146.88,5.95771768381148
"16","Libytheana carinenta",0.512592831772683,0.0196412312365752,0.544573473370733,-0.454295190450699,9.97318844578831e-05,0.964818389290211,78.6190476190476,6.13012708268651,88.3636363636364,6.96514061494174
"17","Atalopedes campestris",-0.78937728937724,0.0483211712784115,0.270584320836883,-25.2769787134124,0.378126875636206,0.00064210877633442,165.592592592593,5.48534937070442,168.37037037037,5.61087368918403
"18","Colias eurytheme",0.0155482815057295,4.7726587356175e-05,0.973854766791242,-4.5466261902927,0.0268807469750847,0.41383312707356,95.76,3.39915675817793,98.9259259259259,3.84453062718698
"19","Pompeius verna",-0.146848312322085,0.0188587117076265,0.552779429455564,-5.48474778225686,0.262979294863459,0.017445388216353,143.952380952381,1.78549204966318,143.952380952381,1.78549204966318
"20","Phoebis sennae",0.239133255482026,0.00166646639201625,0.839786933341067,-20.5166112992589,0.0928883507287271,0.147589336840647,153.185185185185,9.14975705888264,148.166666666667,8.64846192798504
"21","Papilio polyxenes",-0.344687653713723,0.0551657693731798,0.269262961513129,-3.13445070526444,0.0421075155475221,0.347587914839528,101.291666666667,2.2995582173907,100.304347826087,2.16916477488174
