"","species","year","jd"
"146","Atalopedes campestris",2011,143
"147","Atalopedes campestris",2012,132
"148","Atalopedes campestris",2013,187
"149","Atalopedes campestris",2014,201
"150","Atalopedes campestris",2015,192
"151","Atalopedes campestris",2016,114
"152","Atalopedes campestris",2017,125
"153","Atalopedes campestris",2018,176
"154","Atalopedes campestris",2019,177
"155","Atalopedes campestris",2020,211
"164","Battus philenor",1998,114
"165","Battus philenor",1999,97
"168","Battus philenor",2002,95
"170","Battus philenor",2004,108
"171","Battus philenor",2005,101
"172","Battus philenor",2006,110
"173","Battus philenor",2007,91
"174","Battus philenor",2008,107
"175","Battus philenor",2009,135
"176","Battus philenor",2010,108
"177","Battus philenor",2011,127
"178","Battus philenor",2012,94
"179","Battus philenor",2013,128
"181","Battus philenor",2015,123
"182","Battus philenor",2016,85
"183","Battus philenor",2017,99
"184","Battus philenor",2018,108
"185","Battus philenor",2019,108
"186","Battus philenor",2020,113
"192","Calycopis cecrops",1995,111
"194","Calycopis cecrops",1997,110
"196","Calycopis cecrops",1999,97
"199","Calycopis cecrops",2002,167
"200","Calycopis cecrops",2003,202
"201","Calycopis cecrops",2004,107
"202","Calycopis cecrops",2005,121
"203","Calycopis cecrops",2006,209
"204","Calycopis cecrops",2007,90
"205","Calycopis cecrops",2008,109
"206","Calycopis cecrops",2009,108
"207","Calycopis cecrops",2010,127
"208","Calycopis cecrops",2011,184
"209","Calycopis cecrops",2012,89
"210","Calycopis cecrops",2013,129
"211","Calycopis cecrops",2014,110
"212","Calycopis cecrops",2015,136
"213","Calycopis cecrops",2016,177
"214","Calycopis cecrops",2017,98
"215","Calycopis cecrops",2018,109
"216","Calycopis cecrops",2019,108
"217","Calycopis cecrops",2020,187
"225","Celastrina ladon",1997,64
"226","Celastrina ladon",1998,64
"227","Celastrina ladon",1999,83
"229","Celastrina ladon",2001,70
"230","Celastrina ladon",2002,69
"232","Celastrina ladon",2004,79
"233","Celastrina ladon",2005,72
"234","Celastrina ladon",2006,59
"235","Celastrina ladon",2007,71
"236","Celastrina ladon",2008,70
"237","Celastrina ladon",2009,70
"238","Celastrina ladon",2010,79
"240","Celastrina ladon",2012,61
"245","Celastrina ladon",2017,43
"252","Celastrina neglecta",1993,125
"254","Celastrina neglecta",1995,135
"255","Celastrina neglecta",1996,148
"256","Celastrina neglecta",1997,139
"257","Celastrina neglecta",1998,138
"258","Celastrina neglecta",1999,135
"260","Celastrina neglecta",2001,133
"261","Celastrina neglecta",2002,134
"262","Celastrina neglecta",2003,133
"263","Celastrina neglecta",2004,132
"264","Celastrina neglecta",2005,89
"265","Celastrina neglecta",2006,103
"266","Celastrina neglecta",2007,126
"267","Celastrina neglecta",2008,101
"268","Celastrina neglecta",2009,120
"269","Celastrina neglecta",2010,129
"270","Celastrina neglecta",2011,72
"271","Celastrina neglecta",2012,126
"272","Celastrina neglecta",2013,144
"273","Celastrina neglecta",2014,100
"274","Celastrina neglecta",2015,133
"275","Celastrina neglecta",2016,90
"276","Celastrina neglecta",2017,68
"277","Celastrina neglecta",2018,134
"278","Celastrina neglecta",2019,90
"279","Celastrina neglecta",2020,119
"283","Chlosyne nycteis",1993,176
"294","Chlosyne nycteis",2004,126
"299","Chlosyne nycteis",2009,135
"300","Chlosyne nycteis",2010,121
"301","Chlosyne nycteis",2011,119
"306","Chlosyne nycteis",2016,122
"307","Chlosyne nycteis",2017,112
"308","Chlosyne nycteis",2018,132
"310","Chlosyne nycteis",2020,115
"314","Colias eurytheme",1993,105
"315","Colias eurytheme",1994,105
"316","Colias eurytheme",1995,117
"317","Colias eurytheme",1996,133
"318","Colias eurytheme",1997,81
"319","Colias eurytheme",1998,105
"320","Colias eurytheme",1999,88
"321","Colias eurytheme",2000,68
"323","Colias eurytheme",2002,73
"324","Colias eurytheme",2003,122
"325","Colias eurytheme",2004,109
"327","Colias eurytheme",2006,72
"328","Colias eurytheme",2007,132
"329","Colias eurytheme",2008,82
"330","Colias eurytheme",2009,95
"331","Colias eurytheme",2010,90
"332","Colias eurytheme",2011,92
"333","Colias eurytheme",2012,75
"334","Colias eurytheme",2013,107
"335","Colias eurytheme",2014,101
"336","Colias eurytheme",2015,120
"337","Colias eurytheme",2016,90
"338","Colias eurytheme",2017,85
"339","Colias eurytheme",2018,108
"340","Colias eurytheme",2019,144
"341","Colias eurytheme",2020,144
"345","Cupido comyntas",1993,115
"346","Cupido comyntas",1994,105
"347","Cupido comyntas",1995,117
"348","Cupido comyntas",1996,125
"349","Cupido comyntas",1997,95
"350","Cupido comyntas",1998,111
"351","Cupido comyntas",1999,103
"352","Cupido comyntas",2000,96
"353","Cupido comyntas",2001,119
"354","Cupido comyntas",2002,100
"355","Cupido comyntas",2003,107
"356","Cupido comyntas",2004,109
"358","Cupido comyntas",2006,96
"359","Cupido comyntas",2007,94
"360","Cupido comyntas",2008,101
"361","Cupido comyntas",2009,108
"362","Cupido comyntas",2010,101
"363","Cupido comyntas",2011,109
"364","Cupido comyntas",2012,86
"365","Cupido comyntas",2013,104
"366","Cupido comyntas",2014,111
"367","Cupido comyntas",2015,120
"368","Cupido comyntas",2016,95
"369","Cupido comyntas",2017,98
"370","Cupido comyntas",2018,128
"371","Cupido comyntas",2019,112
"372","Cupido comyntas",2020,117
"376","Cyllopsis gemma",1993,115
"377","Cyllopsis gemma",1994,100
"380","Cyllopsis gemma",1997,89
"381","Cyllopsis gemma",1998,106
"382","Cyllopsis gemma",1999,94
"383","Cyllopsis gemma",2000,98
"384","Cyllopsis gemma",2001,98
"385","Cyllopsis gemma",2002,97
"387","Cyllopsis gemma",2004,107
"389","Cyllopsis gemma",2006,95
"390","Cyllopsis gemma",2007,91
"391","Cyllopsis gemma",2008,101
"392","Cyllopsis gemma",2009,108
"393","Cyllopsis gemma",2010,98
"395","Cyllopsis gemma",2012,83
"397","Cyllopsis gemma",2014,112
"399","Cyllopsis gemma",2016,98
"400","Cyllopsis gemma",2017,87
"401","Cyllopsis gemma",2018,81
"403","Cyllopsis gemma",2020,117
"407","Epargyreus clarus",1993,105
"408","Epargyreus clarus",1994,125
"409","Epargyreus clarus",1995,127
"410","Epargyreus clarus",1996,126
"411","Epargyreus clarus",1997,110
"412","Epargyreus clarus",1998,137
"413","Epargyreus clarus",1999,129
"414","Epargyreus clarus",2000,139
"415","Epargyreus clarus",2001,119
"416","Epargyreus clarus",2002,97
"417","Epargyreus clarus",2003,149
"418","Epargyreus clarus",2004,126
"419","Epargyreus clarus",2005,121
"421","Epargyreus clarus",2007,121
"422","Epargyreus clarus",2008,143
"423","Epargyreus clarus",2009,136
"424","Epargyreus clarus",2010,126
"425","Epargyreus clarus",2011,127
"426","Epargyreus clarus",2012,92
"427","Epargyreus clarus",2013,150
"428","Epargyreus clarus",2014,130
"429","Epargyreus clarus",2015,129
"430","Epargyreus clarus",2016,114
"431","Epargyreus clarus",2017,95
"432","Epargyreus clarus",2018,134
"433","Epargyreus clarus",2019,114
"434","Epargyreus clarus",2020,137
"438","Erynnis horatius",1993,145
"440","Erynnis horatius",1995,196
"441","Erynnis horatius",1996,125
"442","Erynnis horatius",1997,97
"443","Erynnis horatius",1998,176
"444","Erynnis horatius",1999,168
"445","Erynnis horatius",2000,97
"446","Erynnis horatius",2001,140
"447","Erynnis horatius",2002,111
"448","Erynnis horatius",2003,130
"449","Erynnis horatius",2004,107
"450","Erynnis horatius",2005,184
"451","Erynnis horatius",2006,158
"453","Erynnis horatius",2008,165
"454","Erynnis horatius",2009,157
"455","Erynnis horatius",2010,156
"456","Erynnis horatius",2011,184
"457","Erynnis horatius",2012,155
"458","Erynnis horatius",2013,185
"459","Erynnis horatius",2014,162
"460","Erynnis horatius",2015,165
"461","Erynnis horatius",2016,159
"462","Erynnis horatius",2017,148
"463","Erynnis horatius",2018,158
"464","Erynnis horatius",2019,162
"465","Erynnis horatius",2020,194
"469","Erynnis juvenalis",1993,79
"471","Erynnis juvenalis",1995,79
"472","Erynnis juvenalis",1996,95
"473","Erynnis juvenalis",1997,68
"474","Erynnis juvenalis",1998,84
"475","Erynnis juvenalis",1999,83
"476","Erynnis juvenalis",2000,71
"477","Erynnis juvenalis",2001,78
"478","Erynnis juvenalis",2002,73
"479","Erynnis juvenalis",2003,84
"480","Erynnis juvenalis",2004,84
"481","Erynnis juvenalis",2005,83
"482","Erynnis juvenalis",2006,72
"483","Erynnis juvenalis",2007,73
"484","Erynnis juvenalis",2008,76
"486","Erynnis juvenalis",2010,89
"487","Erynnis juvenalis",2011,78
"488","Erynnis juvenalis",2012,75
"489","Erynnis juvenalis",2013,96
"490","Erynnis juvenalis",2014,91
"493","Erynnis juvenalis",2017,67
"494","Erynnis juvenalis",2018,81
"495","Erynnis juvenalis",2019,82
"496","Erynnis juvenalis",2020,80
"500","Euphyes vestris",1993,157
"503","Euphyes vestris",1996,164
"504","Euphyes vestris",1997,207
"505","Euphyes vestris",1998,144
"506","Euphyes vestris",1999,138
"507","Euphyes vestris",2000,148
"508","Euphyes vestris",2001,155
"509","Euphyes vestris",2002,143
"511","Euphyes vestris",2004,140
"512","Euphyes vestris",2005,146
"514","Euphyes vestris",2007,153
"515","Euphyes vestris",2008,170
"516","Euphyes vestris",2009,157
"517","Euphyes vestris",2010,134
"519","Euphyes vestris",2012,196
"520","Euphyes vestris",2013,168
"522","Euphyes vestris",2015,217
"523","Euphyes vestris",2016,162
"524","Euphyes vestris",2017,125
"525","Euphyes vestris",2018,147
"526","Euphyes vestris",2019,127
"527","Euphyes vestris",2020,172
"531","Euptoieta claudia",1993,186
"532","Euptoieta claudia",1994,237
"533","Euptoieta claudia",1995,203
"534","Euptoieta claudia",1996,95
"535","Euptoieta claudia",1997,131
"536","Euptoieta claudia",1998,179
"537","Euptoieta claudia",1999,92
"538","Euptoieta claudia",2000,113
"539","Euptoieta claudia",2001,139
"540","Euptoieta claudia",2002,104
"541","Euptoieta claudia",2003,194
"542","Euptoieta claudia",2004,125
"543","Euptoieta claudia",2005,184
"544","Euptoieta claudia",2006,115
"545","Euptoieta claudia",2007,160
"546","Euptoieta claudia",2008,147
"547","Euptoieta claudia",2009,143
"548","Euptoieta claudia",2010,132
"549","Euptoieta claudia",2011,137
"551","Euptoieta claudia",2013,164
"552","Euptoieta claudia",2014,185
"553","Euptoieta claudia",2015,150
"554","Euptoieta claudia",2016,134
"555","Euptoieta claudia",2017,111
"556","Euptoieta claudia",2018,152
"557","Euptoieta claudia",2019,147
"558","Euptoieta claudia",2020,195
"562","Eurytides marcellus",1993,84
"563","Eurytides marcellus",1994,105
"567","Eurytides marcellus",1998,92
"573","Eurytides marcellus",2004,106
"574","Eurytides marcellus",2005,89
"575","Eurytides marcellus",2006,95
"577","Eurytides marcellus",2008,95
"578","Eurytides marcellus",2009,100
"579","Eurytides marcellus",2010,92
"580","Eurytides marcellus",2011,66
"582","Eurytides marcellus",2013,97
"583","Eurytides marcellus",2014,91
"584","Eurytides marcellus",2015,103
"585","Eurytides marcellus",2016,78
"586","Eurytides marcellus",2017,87
"587","Eurytides marcellus",2018,81
"589","Eurytides marcellus",2020,88
"593","Hermeuptychia sosybius",1993,115
"594","Hermeuptychia sosybius",1994,115
"595","Hermeuptychia sosybius",1995,111
"596","Hermeuptychia sosybius",1996,125
"597","Hermeuptychia sosybius",1997,110
"598","Hermeuptychia sosybius",1998,126
"599","Hermeuptychia sosybius",1999,111
"600","Hermeuptychia sosybius",2000,114
"601","Hermeuptychia sosybius",2001,133
"602","Hermeuptychia sosybius",2002,104
"603","Hermeuptychia sosybius",2003,122
"604","Hermeuptychia sosybius",2004,115
"605","Hermeuptychia sosybius",2005,121
"606","Hermeuptychia sosybius",2006,106
"607","Hermeuptychia sosybius",2007,94
"608","Hermeuptychia sosybius",2008,103
"609","Hermeuptychia sosybius",2009,135
"610","Hermeuptychia sosybius",2010,121
"611","Hermeuptychia sosybius",2011,121
"613","Hermeuptychia sosybius",2013,128
"614","Hermeuptychia sosybius",2014,126
"615","Hermeuptychia sosybius",2015,120
"616","Hermeuptychia sosybius",2016,99
"617","Hermeuptychia sosybius",2017,99
"618","Hermeuptychia sosybius",2018,121
"619","Hermeuptychia sosybius",2019,112
"620","Hermeuptychia sosybius",2020,112
"624","Hylephila phyleus",1993,186
"625","Hylephila phyleus",1994,206
"626","Hylephila phyleus",1995,203
"627","Hylephila phyleus",1996,209
"628","Hylephila phyleus",1997,221
"629","Hylephila phyleus",1998,187
"630","Hylephila phyleus",1999,178
"631","Hylephila phyleus",2000,197
"632","Hylephila phyleus",2001,174
"633","Hylephila phyleus",2002,180
"634","Hylephila phyleus",2003,221
"635","Hylephila phyleus",2004,197
"636","Hylephila phyleus",2005,205
"637","Hylephila phyleus",2006,197
"638","Hylephila phyleus",2007,163
"639","Hylephila phyleus",2008,183
"640","Hylephila phyleus",2009,178
"641","Hylephila phyleus",2010,181
"642","Hylephila phyleus",2011,208
"643","Hylephila phyleus",2012,174
"644","Hylephila phyleus",2013,186
"645","Hylephila phyleus",2014,207
"646","Hylephila phyleus",2015,176
"647","Hylephila phyleus",2016,159
"648","Hylephila phyleus",2017,155
"649","Hylephila phyleus",2018,160
"650","Hylephila phyleus",2019,183
"651","Hylephila phyleus",2020,198
"655","Junonia coenia",1993,166
"656","Junonia coenia",1994,156
"657","Junonia coenia",1995,186
"658","Junonia coenia",1996,172
"659","Junonia coenia",1997,196
"660","Junonia coenia",1998,144
"661","Junonia coenia",1999,139
"662","Junonia coenia",2000,114
"663","Junonia coenia",2001,156
"664","Junonia coenia",2002,103
"665","Junonia coenia",2003,149
"666","Junonia coenia",2004,126
"667","Junonia coenia",2005,211
"668","Junonia coenia",2006,121
"669","Junonia coenia",2007,135
"670","Junonia coenia",2008,135
"671","Junonia coenia",2009,152
"672","Junonia coenia",2010,135
"673","Junonia coenia",2011,137
"675","Junonia coenia",2013,174
"676","Junonia coenia",2014,180
"677","Junonia coenia",2015,163
"678","Junonia coenia",2016,128
"679","Junonia coenia",2017,118
"680","Junonia coenia",2018,153
"681","Junonia coenia",2019,128
"682","Junonia coenia",2020,152
"686","Lerema accius",1993,166
"687","Lerema accius",1994,204
"688","Lerema accius",1995,243
"689","Lerema accius",1996,231
"690","Lerema accius",1997,131
"691","Lerema accius",1998,203
"692","Lerema accius",1999,198
"693","Lerema accius",2000,197
"694","Lerema accius",2001,215
"695","Lerema accius",2002,215
"696","Lerema accius",2003,149
"697","Lerema accius",2004,132
"698","Lerema accius",2005,205
"699","Lerema accius",2006,197
"700","Lerema accius",2007,215
"701","Lerema accius",2008,192
"702","Lerema accius",2009,200
"703","Lerema accius",2010,140
"704","Lerema accius",2011,217
"705","Lerema accius",2012,162
"706","Lerema accius",2013,199
"707","Lerema accius",2014,227
"708","Lerema accius",2015,218
"709","Lerema accius",2016,177
"710","Lerema accius",2017,178
"711","Lerema accius",2018,217
"712","Lerema accius",2019,147
"713","Lerema accius",2020,215
"724","Lethe anthedon",2000,211
"725","Lethe anthedon",2001,143
"726","Lethe anthedon",2002,132
"728","Lethe anthedon",2004,140
"733","Lethe anthedon",2009,152
"734","Lethe anthedon",2010,134
"735","Lethe anthedon",2011,162
"736","Lethe anthedon",2012,133
"738","Lethe anthedon",2014,153
"739","Lethe anthedon",2015,162
"740","Lethe anthedon",2016,134
"741","Lethe anthedon",2017,155
"744","Lethe anthedon",2020,158
"759","Lethe appalachia",2004,161
"760","Lethe appalachia",2005,124
"764","Lethe appalachia",2009,143
"765","Lethe appalachia",2010,134
"766","Lethe appalachia",2011,149
"767","Lethe appalachia",2012,133
"768","Lethe appalachia",2013,146
"769","Lethe appalachia",2014,151
"770","Lethe appalachia",2015,143
"771","Lethe appalachia",2016,135
"772","Lethe appalachia",2017,124
"773","Lethe appalachia",2018,167
"775","Lethe appalachia",2020,115
"779","Libytheana carinenta",1993,64
"783","Libytheana carinenta",1997,61
"784","Libytheana carinenta",1998,66
"785","Libytheana carinenta",1999,90
"786","Libytheana carinenta",2000,160
"787","Libytheana carinenta",2001,48
"789","Libytheana carinenta",2003,149
"790","Libytheana carinenta",2004,87
"791","Libytheana carinenta",2005,88
"792","Libytheana carinenta",2006,72
"794","Libytheana carinenta",2008,66
"795","Libytheana carinenta",2009,68
"796","Libytheana carinenta",2010,78
"797","Libytheana carinenta",2011,44
"798","Libytheana carinenta",2012,79
"800","Libytheana carinenta",2014,90
"801","Libytheana carinenta",2015,136
"802","Libytheana carinenta",2016,90
"803","Libytheana carinenta",2017,91
"804","Libytheana carinenta",2018,153
"805","Libytheana carinenta",2019,71
"806","Libytheana carinenta",2020,93
"810","Limenitis archippus",1993,135
"811","Limenitis archippus",1994,135
"812","Limenitis archippus",1995,135
"813","Limenitis archippus",1996,136
"814","Limenitis archippus",1997,135
"815","Limenitis archippus",1998,129
"817","Limenitis archippus",2000,129
"818","Limenitis archippus",2001,216
"819","Limenitis archippus",2002,136
"820","Limenitis archippus",2003,122
"821","Limenitis archippus",2004,126
"826","Limenitis archippus",2009,172
"827","Limenitis archippus",2010,127
"828","Limenitis archippus",2011,141
"829","Limenitis archippus",2012,126
"830","Limenitis archippus",2013,137
"832","Limenitis archippus",2015,142
"833","Limenitis archippus",2016,148
"834","Limenitis archippus",2017,122
"835","Limenitis archippus",2018,132
"836","Limenitis archippus",2019,180
"837","Limenitis archippus",2020,194
"841","Limenitis arthemis astyanax",1993,135
"842","Limenitis arthemis astyanax",1994,127
"843","Limenitis arthemis astyanax",1995,135
"844","Limenitis arthemis astyanax",1996,140
"845","Limenitis arthemis astyanax",1997,129
"846","Limenitis arthemis astyanax",1998,126
"847","Limenitis arthemis astyanax",1999,98
"848","Limenitis arthemis astyanax",2000,132
"849","Limenitis arthemis astyanax",2001,132
"850","Limenitis arthemis astyanax",2002,132
"851","Limenitis arthemis astyanax",2003,127
"852","Limenitis arthemis astyanax",2004,119
"853","Limenitis arthemis astyanax",2005,138
"854","Limenitis arthemis astyanax",2006,111
"855","Limenitis arthemis astyanax",2007,132
"856","Limenitis arthemis astyanax",2008,135
"857","Limenitis arthemis astyanax",2009,133
"858","Limenitis arthemis astyanax",2010,122
"859","Limenitis arthemis astyanax",2011,127
"860","Limenitis arthemis astyanax",2012,127
"861","Limenitis arthemis astyanax",2013,139
"863","Limenitis arthemis astyanax",2015,133
"864","Limenitis arthemis astyanax",2016,128
"865","Limenitis arthemis astyanax",2017,118
"866","Limenitis arthemis astyanax",2018,140
"867","Limenitis arthemis astyanax",2019,166
"868","Limenitis arthemis astyanax",2020,215
"872","Megisto cymela",1993,145
"873","Megisto cymela",1994,134
"874","Megisto cymela",1995,135
"877","Megisto cymela",1998,139
"879","Megisto cymela",2000,138
"880","Megisto cymela",2001,138
"882","Megisto cymela",2003,136
"883","Megisto cymela",2004,135
"886","Megisto cymela",2007,133
"887","Megisto cymela",2008,137
"888","Megisto cymela",2009,136
"889","Megisto cymela",2010,134
"892","Megisto cymela",2013,142
"893","Megisto cymela",2014,136
"896","Megisto cymela",2017,130
"897","Megisto cymela",2018,145
"912","Nastra lherminier",2002,132
"914","Nastra lherminier",2004,141
"919","Nastra lherminier",2009,213
"920","Nastra lherminier",2010,133
"922","Nastra lherminier",2012,131
"925","Nastra lherminier",2015,157
"927","Nastra lherminier",2017,135
"929","Nastra lherminier",2019,215
"930","Nastra lherminier",2020,159
"934","Panoquina ocola",1993,191
"935","Panoquina ocola",1994,217
"936","Panoquina ocola",1995,217
"937","Panoquina ocola",1996,216
"939","Panoquina ocola",1998,206
"940","Panoquina ocola",1999,205
"941","Panoquina ocola",2000,211
"943","Panoquina ocola",2002,215
"944","Panoquina ocola",2003,219
"945","Panoquina ocola",2004,200
"946","Panoquina ocola",2005,233
"947","Panoquina ocola",2006,211
"948","Panoquina ocola",2007,273
"950","Panoquina ocola",2009,213
"951","Panoquina ocola",2010,219
"952","Panoquina ocola",2011,213
"953","Panoquina ocola",2012,217
"954","Panoquina ocola",2013,203
"955","Panoquina ocola",2014,227
"957","Panoquina ocola",2016,199
"958","Panoquina ocola",2017,204
"959","Panoquina ocola",2018,210
"960","Panoquina ocola",2019,201
"961","Panoquina ocola",2020,222
"965","Papilio glaucus",1993,95
"966","Papilio glaucus",1994,95
"967","Papilio glaucus",1995,105
"968","Papilio glaucus",1996,109
"969","Papilio glaucus",1997,82
"970","Papilio glaucus",1998,92
"971","Papilio glaucus",1999,87
"972","Papilio glaucus",2000,83
"973","Papilio glaucus",2001,83
"974","Papilio glaucus",2002,84
"975","Papilio glaucus",2003,87
"976","Papilio glaucus",2004,97
"977","Papilio glaucus",2005,100
"978","Papilio glaucus",2006,76
"979","Papilio glaucus",2007,86
"980","Papilio glaucus",2008,81
"981","Papilio glaucus",2009,98
"982","Papilio glaucus",2010,96
"983","Papilio glaucus",2011,78
"984","Papilio glaucus",2012,83
"985","Papilio glaucus",2013,97
"986","Papilio glaucus",2014,100
"988","Papilio glaucus",2016,77
"989","Papilio glaucus",2017,69
"990","Papilio glaucus",2018,103
"991","Papilio glaucus",2019,105
"992","Papilio glaucus",2020,94
"996","Papilio polyxenes",1993,115
"997","Papilio polyxenes",1994,117
"1001","Papilio polyxenes",1998,142
"1002","Papilio polyxenes",1999,97
"1003","Papilio polyxenes",2000,85
"1004","Papilio polyxenes",2001,103
"1005","Papilio polyxenes",2002,95
"1006","Papilio polyxenes",2003,122
"1007","Papilio polyxenes",2004,107
"1008","Papilio polyxenes",2005,124
"1009","Papilio polyxenes",2006,95
"1010","Papilio polyxenes",2007,85
"1011","Papilio polyxenes",2008,101
"1012","Papilio polyxenes",2009,89
"1013","Papilio polyxenes",2010,98
"1014","Papilio polyxenes",2011,104
"1015","Papilio polyxenes",2012,92
"1016","Papilio polyxenes",2013,97
"1017","Papilio polyxenes",2014,100
"1018","Papilio polyxenes",2015,103
"1019","Papilio polyxenes",2016,98
"1020","Papilio polyxenes",2017,81
"1021","Papilio polyxenes",2018,109
"1022","Papilio polyxenes",2019,112
"1023","Papilio polyxenes",2020,102
"1027","Papilio troilus",1993,115
"1028","Papilio troilus",1994,127
"1029","Papilio troilus",1995,135
"1030","Papilio troilus",1996,125
"1031","Papilio troilus",1997,110
"1032","Papilio troilus",1998,98
"1033","Papilio troilus",1999,108
"1034","Papilio troilus",2000,114
"1035","Papilio troilus",2001,95
"1036","Papilio troilus",2002,110
"1037","Papilio troilus",2003,92
"1038","Papilio troilus",2004,121
"1039","Papilio troilus",2005,124
"1040","Papilio troilus",2006,103
"1041","Papilio troilus",2007,91
"1042","Papilio troilus",2008,112
"1043","Papilio troilus",2009,100
"1044","Papilio troilus",2010,134
"1045","Papilio troilus",2011,104
"1046","Papilio troilus",2012,90
"1047","Papilio troilus",2013,137
"1048","Papilio troilus",2014,107
"1050","Papilio troilus",2016,99
"1051","Papilio troilus",2017,101
"1052","Papilio troilus",2018,109
"1053","Papilio troilus",2019,127
"1054","Papilio troilus",2020,144
"1058","Phoebis sennae",1993,145
"1059","Phoebis sennae",1994,176
"1060","Phoebis sennae",1995,196
"1062","Phoebis sennae",1997,194
"1063","Phoebis sennae",1998,115
"1064","Phoebis sennae",1999,98
"1065","Phoebis sennae",2000,127
"1066","Phoebis sennae",2001,154
"1067","Phoebis sennae",2002,104
"1068","Phoebis sennae",2003,134
"1069","Phoebis sennae",2004,126
"1070","Phoebis sennae",2005,244
"1071","Phoebis sennae",2006,115
"1072","Phoebis sennae",2007,181
"1073","Phoebis sennae",2008,101
"1074","Phoebis sennae",2009,166
"1075","Phoebis sennae",2010,150
"1076","Phoebis sennae",2011,232
"1077","Phoebis sennae",2012,89
"1078","Phoebis sennae",2013,104
"1079","Phoebis sennae",2014,234
"1080","Phoebis sennae",2015,218
"1081","Phoebis sennae",2016,162
"1082","Phoebis sennae",2017,118
"1083","Phoebis sennae",2018,223
"1084","Phoebis sennae",2019,114
