"","species","year","jd"
"6","Abaeis nicippe",1995,105
"7","Abaeis nicippe",1996,216
"8","Abaeis nicippe",1997,81
"9","Abaeis nicippe",1998,73
"10","Abaeis nicippe",1999,88
"11","Abaeis nicippe",2000,67
"12","Abaeis nicippe",2001,97
"13","Abaeis nicippe",2002,88
"14","Abaeis nicippe",2003,87
"15","Abaeis nicippe",2004,107
"16","Abaeis nicippe",2005,228
"17","Abaeis nicippe",2006,72
"18","Abaeis nicippe",2007,82
"19","Abaeis nicippe",2008,73
"20","Abaeis nicippe",2009,70
"21","Abaeis nicippe",2010,129
"22","Abaeis nicippe",2011,198
"23","Abaeis nicippe",2012,74
"24","Abaeis nicippe",2013,101
"25","Abaeis nicippe",2014,158
"26","Abaeis nicippe",2015,150
"27","Abaeis nicippe",2016,85
"28","Abaeis nicippe",2017,103
"29","Abaeis nicippe",2018,140
"30","Abaeis nicippe",2019,201
"31","Abaeis nicippe",2020,115
"35","Ancyloxypha numitor",1993,191
"40","Ancyloxypha numitor",1998,129
"42","Ancyloxypha numitor",2000,196
"43","Ancyloxypha numitor",2001,138
"44","Ancyloxypha numitor",2002,132
"45","Ancyloxypha numitor",2003,134
"46","Ancyloxypha numitor",2004,136
"47","Ancyloxypha numitor",2005,162
"49","Ancyloxypha numitor",2007,153
"51","Ancyloxypha numitor",2009,146
"52","Ancyloxypha numitor",2010,133
"53","Ancyloxypha numitor",2011,141
"54","Ancyloxypha numitor",2012,133
"55","Ancyloxypha numitor",2013,145
"56","Ancyloxypha numitor",2014,151
"57","Ancyloxypha numitor",2015,143
"58","Ancyloxypha numitor",2016,148
"59","Ancyloxypha numitor",2017,126
"60","Ancyloxypha numitor",2018,140
"61","Ancyloxypha numitor",2019,201
"62","Ancyloxypha numitor",2020,191
"68","Anthocharis midea",1995,74
"69","Anthocharis midea",1996,75
"71","Anthocharis midea",1998,79
"72","Anthocharis midea",1999,76
"73","Anthocharis midea",2000,68
"74","Anthocharis midea",2001,70
"75","Anthocharis midea",2002,66
"76","Anthocharis midea",2003,81
"77","Anthocharis midea",2004,63
"78","Anthocharis midea",2005,79
"79","Anthocharis midea",2006,71
"80","Anthocharis midea",2007,71
"81","Anthocharis midea",2008,73
"82","Anthocharis midea",2009,70
"83","Anthocharis midea",2010,80
"84","Anthocharis midea",2011,67
"85","Anthocharis midea",2012,61
"86","Anthocharis midea",2013,78
"87","Anthocharis midea",2014,81
"88","Anthocharis midea",2015,76
"89","Anthocharis midea",2016,70
"90","Anthocharis midea",2017,55
"91","Anthocharis midea",2018,73
"93","Anthocharis midea",2020,71
"97","Asterocampa celtis",1993,145
"102","Asterocampa celtis",1998,140
"104","Asterocampa celtis",2000,138
"105","Asterocampa celtis",2001,144
"106","Asterocampa celtis",2002,132
"107","Asterocampa celtis",2003,136
"108","Asterocampa celtis",2004,141
"110","Asterocampa celtis",2006,158
"112","Asterocampa celtis",2008,153
"113","Asterocampa celtis",2009,147
"114","Asterocampa celtis",2010,132
"115","Asterocampa celtis",2011,127
"116","Asterocampa celtis",2012,133
"117","Asterocampa celtis",2013,151
"118","Asterocampa celtis",2014,151
"119","Asterocampa celtis",2015,143
"120","Asterocampa celtis",2016,122
"121","Asterocampa celtis",2017,135
"122","Asterocampa celtis",2018,152
"123","Asterocampa celtis",2019,128
"124","Asterocampa celtis",2020,194
"128","Atalopedes campestris",1993,156
"129","Atalopedes campestris",1994,186
"130","Atalopedes campestris",1995,196
"131","Atalopedes campestris",1996,179
"132","Atalopedes campestris",1997,207
"133","Atalopedes campestris",1998,176
"134","Atalopedes campestris",1999,136
"135","Atalopedes campestris",2000,156
"136","Atalopedes campestris",2001,177
"137","Atalopedes campestris",2002,153
"138","Atalopedes campestris",2003,202
"139","Atalopedes campestris",2004,130
"140","Atalopedes campestris",2005,205
"141","Atalopedes campestris",2006,136
"142","Atalopedes campestris",2007,134
"143","Atalopedes campestris",2008,191
"144","Atalopedes campestris",2009,172
"145","Atalopedes campestris",2010,132
